commit	val_bpb	memory_gb	status	description
96894f8	1.411738	21.2	discard	reduce logit soft-cap from 15 to 12 (tighter cap over-constrains logits)
5e18a9a	1.361784	26.4	discard	remove x0 residual connection (1.362 vs 1.277; x0 highway essential for quality)
2a94e0b	1.295582	26.4	discard	init scale 0.68 (upstream narrow optimum; worse on our hardware/depth)
b428bc2	1.317104	21.2	discard	FINAL_LR_FRAC 0.05 (LR floors at 5%; restored correct baseline with x0 residual)
729d778	1.320213	21.2	discard	x0_init 0.05 (reduce x0 skip scalar from 0.1 to 0.05; worse quality)
543dda6	1.315882	21.2	discard	momentum warmup 200 (reduce from 300 to 200; worse quality)
8e0a7d7	1.317625	21.2	discard	embedding weight decay (wte=0.001 ve=0.003 lm_head=0.01; worse quality)
aa845ce	1.310544	21.2	discard	WARMDOWN_RATIO 0.75 (most of training is warmdown; worse 1.311 vs 1.277)
0399e37	1.307058	21.2	discard	short window seq_len/8 (256 tokens; less attention compute but worse quality)
c774e47	1.309926	21.2	discard	RoPE base 200K (from 10K; worse quality 1.310 vs 1.277)
9732b78	0.000000	0.0	crash	EMA weights (decay=0.995) — load_weights KeyError on mixed list/dict tree
6b18813	0.000000	0.0	crash	float16 weights (NaN at step 117 — squared ReLU overflows f16 max 65504)
27a43ec	1.387586	21.2	discard	sequence length curriculum (1024→2048 at 50%; short seqs hurt quality)
4cbb2ed	1.435048	21.2	discard	attention scale=1.0 (QK-norm makes 1/sqrt(d) unnecessary; much worse)
27530ad	1.407379	21.2	discard	GELU activation instead of squared ReLU (much worse; squared ReLU better at this scale)
bdb9c17	1.393179	21.2	discard	short_window seq_len/4 (512 tokens; too aggressive quality loss vs 1024)
b8c77dd	1.400399	21.2	discard	x0_init 0.15 (increase x0 skip from 0.1 to 0.15; too strong)
4cf3a8e	1.413052	21.2	discard	increase Muon target momentum 0.95->0.97 (destabilizes training)
270800d	1.410547	21.2	discard	remove NorMuon variance reduction (much worse; variance normalization essential)
758caa2	1.406190	21.2	discard	remove cautious weight decay mask in Muon (standard decoupled WD; much worse)
0b50394	1.437584	21.2	discard	deep supervision with aux loss from mid-layer (layer 3/6 weight 0.1; much worse)
54a9162	1.323664	21.2	discard	remove resid_lambdas (simplify residual to x + x0_lambda*x0; worse 1.324 vs 1.277)
9e47b25	1.312417	21.2	discard	Muon beta2 0.95->0.90 (faster NorMuon variance adaptation; worse 1.312 vs 1.277)
7e1c733	1.545293	26.5	discard	EMA weights (decay=0.995) — much worse 1.545 vs 1.277; averages in early bad weights + 27GB memory
e7e2cc5	1.334776	21.2	discard	increase weight decay 0.2->0.25 (stronger regularization hurts; 1.335 vs 1.277)
f7a7b3d	1.310847	21.2	keep	baseline re-verify at 10min budget (mechanical run, best config + infra fixes)
c715df7	1.385528	21.1	discard	shared VE embedding (single table across all VE layers; 1.386 vs 1.311 baseline)
c8a7d25	1.314580	20.7	discard	reduce MLP expansion 4x to 3x (21% more tokens but capacity loss; 1.315 vs 1.311)
04b4612	1.310873	21.2	discard	reduce weight decay 0.2->0.15 (identical to baseline; 1.311 vs 1.311)
0323a60	1.325706	21.2	discard	multi-token prediction (2nd-next token aux head weight 0.3; worse 1.326 vs 1.311)
ee345ec	1.448732	21.2	discard	halve SCALAR_LR 0.5->0.25 (much worse; residual scalars need fast adaptation)
c24f934	1.426836	21.2	discard	partial RoPE (rotate only 32/64 head dims; much worse; full rotary essential)
dce09b6	1.412310	21.2	discard	halve batch size (DEVICE_BATCH_SIZE=4 TOTAL_BATCH_SIZE=2^13; noisier grads hurt more than extra updates help)
c9457ea	1.456648	21.2	discard	residual dropout 0.05 (much worse 1.457 vs 1.311; dropout noise prevents convergence in ~500 steps)
490cdb6	1.421442	21.2	discard	WARMDOWN_RATIO 0.65 (full-LR for only 3.5min + long 6.5min cooldown; much worse 1.421 vs 1.311)
b620e8d	1.443647	21.2	discard	depth 8 at 10min (ASPECT_RATIO=32; model_dim=256 same GQA; much worse 1.444 vs 1.311; 453 steps not enough for deeper model)
755730d	1.516021	21.2	discard	cosine LR with warm restart (2 cycles; 2nd at 0.5x max LR; much worse 1.516 vs 1.311; restart disrupts learned representations)
c065579	1.429942	21.2	discard	Muon beta2 0.95->0.99 (smoother NorMuon variance; much worse 1.430 vs 1.311; too slow to adapt in 556 steps)
a000c1e	1.431694	21.2	discard	Muon initial momentum 0.90 (from 0.85; much worse 1.432 vs 1.311; higher start momentum destabilizes early training)
